Mix_ID,Cement,GGBS,FlyAsh,Water,Admixture,CoarseAggregate,Sand,age,Strength,WBRatio
1,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0,79.98611076,0.3
2,540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.88736576,0.3
3,332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.269535256000005,0.48
4,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.052779992,0.48
5,198.6,132.4,0.0,192.0,0.0,978.4,825.5,360.0,44.296075096,0.5800604229607251
6,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.029847436,0.6
7,380.0,95.0,0.0,228.0,0.0,932.0,594.0,365.0,43.698299404,0.48
8,380.0,95.0,0.0,228.0,0.0,932.0,594.0,28.0,36.447769788,0.48
9,266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.854290856,0.6
10,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.28978986,0.48
11,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.074243672,0.5800604229607251
12,198.6,132.4,0.0,192.0,0.0,978.4,825.5,28.0,28.021683592,0.5800604229607251
13,427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01296026,0.48
14,190.0,190.0,0.0,228.0,0.0,932.0,670.0,90.0,42.32693164,0.6
15,304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,47.813781648,0.6
16,380.0,0.0,0.0,228.0,0.0,932.0,670.0,90.0,52.908319812,0.6
17,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.358047984,0.5501432664756447
18,342.0,38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.141962252,0.6
19,380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,40.563252032,0.48
20,475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.620648416,0.48
21,427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0,41.836714204,0.48
22,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.23748958,0.5501432664756447
23,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3.0,8.06342182,0.5501432664756447
24,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180.0,44.207822168,0.5501432664756447
25,380.0,0.0,0.0,228.0,0.0,932.0,670.0,365.0,52.516697444,0.6
26,380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.300631656,0.6
27,380.0,95.0,0.0,228.0,0.0,932.0,594.0,270.0,41.15137506,0.48
28,342.0,38.0,0.0,228.0,0.0,932.0,670.0,180.0,52.1243856,0.6
29,427.5,47.5,0.0,228.0,0.0,932.0,594.0,28.0,37.427515184,0.48
30,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7.0,38.60376124,0.48
31,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,55.260122448,0.6
32,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365.0,52.908319812,0.6
33,198.6,132.4,0.0,192.0,0.0,978.4,825.5,180.0,41.719503284,0.5800604229607251
34,475.0,0.0,0.0,228.0,0.0,932.0,594.0,270.0,42.131120456,0.48
35,190.0,190.0,0.0,228.0,0.0,932.0,670.0,365.0,53.69225402399999,0.6
36,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270.0,38.407950056,0.48
37,237.5,237.5,0.0,228.0,0.0,932.0,594.0,28.0,30.079769452,0.48
38,332.5,142.5,0.0,228.0,0.0,932.0,594.0,90.0,37.721921436,0.48
39,475.0,0.0,0.0,228.0,0.0,932.0,594.0,90.0,42.229026048,0.48
40,237.5,237.5,0.0,228.0,0.0,932.0,594.0,180.0,36.251958604,0.48
41,342.0,38.0,0.0,228.0,0.0,932.0,670.0,90.0,50.45930106,0.6
42,427.5,47.5,0.0,228.0,0.0,932.0,594.0,365.0,43.698299404,0.48
43,237.5,237.5,0.0,228.0,0.0,932.0,594.0,365.0,38.995383608,0.48
44,380.0,0.0,0.0,228.0,0.0,932.0,670.0,180.0,53.104130996,0.6
45,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90.0,41.542997428,0.48
46,427.5,47.5,0.0,228.0,0.0,932.0,594.0,7.0,35.076402024,0.48
47,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3.0,15.049192652,0.5501432664756447
48,380.0,95.0,0.0,228.0,0.0,932.0,594.0,180.0,40.759063216,0.48
49,237.5,237.5,0.0,228.0,0.0,932.0,594.0,7.0,26.258003984,0.48
50,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0,32.823194456,0.48
51,332.5,142.5,0.0,228.0,0.0,932.0,594.0,180.0,39.77931782,0.48
52,190.0,190.0,0.0,228.0,0.0,932.0,670.0,180.0,46.931941844,0.6
53,237.5,237.5,0.0,228.0,0.0,932.0,594.0,90.0,33.116911232,0.48
54,304.0,76.0,0.0,228.0,0.0,932.0,670.0,90.0,49.185149412,0.6
55,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7.0,14.58931216,0.5501432664756447
